parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
criterion,entropy,entropy,5,10,5,balanced,6,105,105,0.5111111111111111,0.5,0.5059288537549407
criterion,entropy,entropy,5,10,5,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.5198412698412699
criterion,entropy,entropy,5,10,5,balanced,6,107,107,0.4222222222222222,0.48,0.4375
criterion,entropy,entropy,5,10,5,balanced,6,108,108,0.7111111111111111,0.6060606060606061,0.8181818181818182
criterion,log_loss,log_loss,5,10,5,balanced,6,1,1,0.5333333333333333,0.6557377049180327,0.525691699604743
criterion,log_loss,log_loss,5,10,5,balanced,6,2,2,0.8,0.7804878048780488,0.825098814229249
criterion,log_loss,log_loss,5,10,5,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.4901185770750988
criterion,log_loss,log_loss,5,10,5,balanced,6,4,4,0.5111111111111111,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,5,5,0.4444444444444444,0.13793103448275862,0.47023809523809523
criterion,log_loss,log_loss,5,10,5,balanced,6,6,6,0.5111111111111111,0.15384615384615385,0.5009920634920635
criterion,log_loss,log_loss,5,10,5,balanced,6,7,7,0.6888888888888889,0.5625,0.6837944664031622
criterion,log_loss,log_loss,5,10,5,balanced,6,8,8,0.5333333333333333,0.16,0.5434782608695652
criterion,log_loss,log_loss,5,10,5,balanced,6,9,9,0.5555555555555556,0.5238095238095238,0.5535714285714285
criterion,log_loss,log_loss,5,10,5,balanced,6,10,10,0.5333333333333333,0.5531914893617021,0.6051587301587301
criterion,log_loss,log_loss,5,10,5,balanced,6,11,11,0.5111111111111111,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,12,12,0.4888888888888889,0.08,0.5208333333333334
criterion,log_loss,log_loss,5,10,5,balanced,6,13,13,0.7428571428571429,0.7096774193548387,0.8529411764705882
criterion,log_loss,log_loss,5,10,5,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304
criterion,log_loss,log_loss,5,10,5,balanced,6,15,15,0.6444444444444445,0.7241379310344828,0.825098814229249
criterion,log_loss,log_loss,5,10,5,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.475296442687747
criterion,log_loss,log_loss,5,10,5,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.5295454545454545
criterion,log_loss,log_loss,5,10,5,balanced,6,18,18,0.4888888888888889,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,19,19,0.5333333333333333,0.631578947368421,0.5958498023715416
criterion,log_loss,log_loss,5,10,5,balanced,6,20,20,0.5111111111111111,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572
criterion,log_loss,log_loss,5,10,5,balanced,6,22,22,0.6222222222222222,0.7301587301587301,0.5899209486166008
criterion,log_loss,log_loss,5,10,5,balanced,6,23,23,0.5681818181818182,0.6984126984126984,0.7407024793388429
criterion,log_loss,log_loss,5,10,5,balanced,6,24,24,0.3333333333333333,0.14285714285714285,0.35064935064935066
criterion,log_loss,log_loss,5,10,5,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5217391304347826
criterion,log_loss,log_loss,5,10,5,balanced,6,26,26,0.5333333333333333,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,27,27,0.4666666666666667,0.6129032258064516,0.5622529644268776
criterion,log_loss,log_loss,5,10,5,balanced,6,28,28,0.4666666666666667,0.4,0.45948616600790515
criterion,log_loss,log_loss,5,10,5,balanced,6,29,29,0.5555555555555556,0.47368421052631576,0.5523715415019763
criterion,log_loss,log_loss,5,10,5,balanced,6,30,30,0.5333333333333333,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,31,31,0.5777777777777777,0.7076923076923077,0.6245059288537549
criterion,log_loss,log_loss,5,10,5,balanced,6,32,32,0.6818181818181818,0.7407407407407407,0.7422360248447206
criterion,log_loss,log_loss,5,10,5,balanced,6,33,33,0.7333333333333333,0.6842105263157895,0.8428853754940712
criterion,log_loss,log_loss,5,10,5,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6041666666666666
criterion,log_loss,log_loss,5,10,5,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.5849802371541502
criterion,log_loss,log_loss,5,10,5,balanced,6,36,36,0.5681818181818182,0.5957446808510638,0.5950413223140496
criterion,log_loss,log_loss,5,10,5,balanced,6,37,37,0.5111111111111111,0.0,0.5
criterion,log_loss,log_loss,5,10,5,balanced,6,38,38,0.5555555555555556,0.6666666666666666,0.5849802371541502
