trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
2,5,distance,euclidean,unused,6,30,30,0.5111111111111111,0.15384615384615385,0.5704365079365079,45
2,5,distance,euclidean,unused,6,31,31,0.7111111111111111,0.7346938775510204,0.6996047430830039,45
2,5,distance,euclidean,unused,6,32,32,0.6363636363636364,0.6666666666666666,0.6790890269151139,44
2,5,distance,euclidean,unused,6,33,33,0.6444444444444445,0.5555555555555556,0.7252964426877471,45
2,5,distance,euclidean,unused,6,34,34,0.7333333333333333,0.76,0.7559523809523809,45
2,5,distance,euclidean,unused,6,35,35,0.5333333333333333,0.4878048780487805,0.47134387351778656,45
2,5,distance,euclidean,unused,6,36,36,0.4090909090909091,0.4583333333333333,0.42355371900826444,44
2,5,distance,euclidean,unused,6,37,37,0.5111111111111111,0.0,0.4051383399209486,45
2,5,distance,euclidean,unused,6,38,38,0.5333333333333333,0.4,0.4565217391304348,45
2,5,distance,euclidean,unused,6,39,39,0.38636363636363635,0.4489795918367347,0.40165631469979296,44
2,5,distance,euclidean,unused,6,40,40,0.5555555555555556,0.5833333333333334,0.48611111111111116,45
2,5,distance,euclidean,unused,6,41,41,0.5777777777777777,0.5365853658536586,0.6329365079365079,45
2,5,distance,euclidean,unused,6,42,42,0.7777777777777778,0.7916666666666666,0.8656126482213439,45
2,5,distance,euclidean,unused,6,43,43,0.6,0.5714285714285714,0.624505928853755,45
2,5,distance,euclidean,unused,6,44,44,0.4827586206896552,0.4444444444444444,0.5738095238095239,29
2,5,distance,euclidean,unused,6,45,45,0.6,0.5714285714285714,0.5889328063241106,45
2,5,distance,euclidean,unused,6,46,46,0.4888888888888889,0.5306122448979592,0.47332015810276684,45
2,5,distance,euclidean,unused,6,47,47,0.5555555555555556,0.6153846153846154,0.5505952380952381,45
2,5,distance,euclidean,unused,6,48,48,0.5882352941176471,0.631578947368421,0.6000000000000001,17
2,5,distance,euclidean,unused,6,49,49,0.8,0.7804878048780488,0.8537549407114624,45
2,5,distance,euclidean,unused,6,50,50,0.6,0.6785714285714286,0.7430830039525691,45
2,5,distance,euclidean,unused,6,51,51,0.4666666666666667,0.0,0.3472222222222222,45
2,5,distance,euclidean,unused,6,52,52,0.6585365853658537,0.5882352941176471,0.6770334928229665,41
2,5,distance,euclidean,unused,6,53,53,0.4883720930232558,0.42105263157894735,0.5487012987012987,43
2,5,distance,euclidean,unused,6,54,54,0.6410256410256411,0.6818181818181818,0.7758152173913043,39
2,5,distance,euclidean,unused,6,55,55,0.6444444444444445,0.5789473684210527,0.8043478260869565,45
2,5,distance,euclidean,unused,6,56,56,0.7045454545454546,0.6666666666666666,0.7272727272727272,44
2,5,distance,euclidean,unused,6,57,57,0.6,0.6086956521739131,0.6527777777777778,45
2,5,distance,euclidean,unused,6,58,58,0.5777777777777777,0.4864864864864865,0.4880952380952381,45
2,5,distance,euclidean,unused,6,59,59,0.4222222222222222,0.23529411764705882,0.3869047619047619,45
2,5,distance,euclidean,unused,6,60,60,0.7272727272727273,0.7,0.8202479338842975,44
2,5,distance,euclidean,unused,6,61,61,0.6976744186046512,0.6285714285714286,0.8225108225108225,43
2,5,distance,euclidean,unused,6,62,62,0.8,0.7428571428571429,0.7845849802371541,45
2,5,distance,euclidean,unused,6,63,63,0.5348837209302325,0.16666666666666666,0.5476190476190477,43
2,5,distance,euclidean,unused,6,64,64,0.6888888888888889,0.6818181818181818,0.6946640316205535,45
2,5,distance,euclidean,unused,6,65,65,0.5333333333333333,0.46153846153846156,0.5089285714285714,45
2,5,distance,euclidean,unused,6,66,66,0.4666666666666667,0.45454545454545453,0.5652173913043479,45
2,5,distance,euclidean,unused,6,67,67,0.5111111111111111,0.21428571428571427,0.5158102766798419,45
2,5,distance,euclidean,unused,6,68,68,0.5333333333333333,0.36363636363636365,0.6146245059288536,45
2,5,distance,euclidean,unused,6,69,69,0.5111111111111111,0.45,0.5466269841269842,45
2,5,distance,euclidean,unused,6,70,70,0.6,0.55,0.591897233201581,45
2,5,distance,euclidean,unused,6,71,71,0.5111111111111111,0.35294117647058826,0.39920948616600793,45
