parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,95,95,0.7142857142857143,0.5,0.828125,9.216244050003297,0.0013231539996922947,0.047255499989010526,0.011692047119140625,1130,0.01171875,25.8193359375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,96,96,0.5,0.08695652173913043,0.7324263038548752,9.195218995002506,0.0021129949964233674,0.05030940467674684,0.011692047119140625,1130,0.01171875,25.8203125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,97,97,0.5,0.0,0.4648760330578513,9.189597075004713,0.0022394090046873316,0.05089565919743936,0.011692047119140625,1130,0.01953125,25.8212890625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,98,98,0.5111111111111111,0.0,0.5830039525691699,9.330153679999057,0.0025073229990084656,0.055718288866854794,0.011692047119140625,1130,0.0078125,25.822265625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,99,99,0.4418604651162791,0.14285714285714285,0.48268398268398266,9.349787972998456,0.003135619997920003,0.0729213953004652,0.011692047119140625,1130,0.01953125,25.8232421875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,100,100,0.5,0.5,0.5401234567901234,9.599135008000303,0.0021243099981802516,0.059008611060562544,0.011692047119140625,1130,0.015625,25.82421875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,101,101,0.5333333333333333,0.631578947368421,0.5375494071146245,9.814249614995788,0.0023114159994293004,0.051364799987317786,0.011692047119140625,1130,0.0078125,25.8251953125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,102,102,0.4888888888888889,0.0,0.6818181818181819,9.273457802999474,0.002147776998754125,0.047728377750091665,0.011692047119140625,1130,0.01171875,25.826171875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,103,103,0.4883720930232558,0.65625,0.764069264069264,9.46296761600388,0.002252678998047486,0.05238788367552293,0.011692047119140625,1130,0.0078125,25.8271484375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,104,104,0.4883720930232558,0.65625,0.6688311688311688,9.22918288299843,0.0021873770019738004,0.050869232604041865,0.011692047119140625,1130,0.015625,25.828125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,105,105,0.5111111111111111,0.0,0.8043478260869565,9.174018917998183,0.002281804001540877,0.050706755589797266,0.011692047119140625,1130,0.01171875,25.8291015625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,106,106,0.4666666666666667,0.625,0.5575396825396826,9.158574089000467,0.0022787300040363334,0.05063844453414074,0.011692047119140625,1130,0.01171875,25.830078125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,107,107,0.4666666666666667,0.6363636363636364,0.6190476190476191,9.199677978998807,0.0023968329987837933,0.053262955528528735,0.011692047119140625,1130,0.015625,25.8310546875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,108,108,0.6888888888888889,0.5882352941176471,0.8359683794466405,9.186207300001115,0.002179204995627515,0.048426777680611446,0.011692047119140625,1130,0.01953125,25.83203125
D,2,8,2,16,64,0.25,0.001,32,20,0.0,1,1,0.5111111111111111,0.0,0.7055335968379447,10.845450856999378,0.0023457779971067794,0.052128399935706206,0.014682769775390625,1858,0.0390625,26.34423828125
D,2,8,2,16,64,0.25,0.001,32,20,0.0,2,2,0.6,0.7096774193548387,0.9229249011857708,10.838632823993976,0.002271815996209625,0.05048479991576944,0.014682769775390625,1858,0.0078125,26.34619140625
D,2,8,2,16,64,0.25,0.001,32,20,0.0,3,3,0.4444444444444444,0.6153846153846154,0.383399209486166,10.827984874005779,0.0023580010019941255,0.052400022266536124,0.014682769775390625,1858,0.01171875,26.34814453125
D,2,8,2,16,64,0.25,0.001,32,20,0.0,4,4,0.4888888888888889,0.6567164179104478,0.7569169960474308,10.822701757002505,0.002298915002029389,0.05108700004509754,0.014682769775390625,1858,0.015625,26.35009765625
D,2,8,2,16,64,0.25,0.001,32,20,0.0,5,5,0.5333333333333333,0.6956521739130435,0.5099206349206349,10.804903326003114,0.0022323560042423196,0.04960791120538488,0.014682769775390625,1858,0.01171875,26.35205078125
D,2,8,2,16,64,0.25,0.001,32,20,0.0,6,6,0.4888888888888889,0.6461538461538462,0.49007936507936506,10.796350003001862,0.0022752379954908974,0.05056084434424216,0.014682769775390625,1858,0.01953125,26.35400390625
D,2,8,2,16,64,0.25,0.001,32,20,0.0,7,7,0.4888888888888889,0.6567164179104478,0.9940711462450593,10.806419452994305,0.0023939689999679103,0.05319931111039801,0.014682769775390625,1858,0.0078125,26.35595703125
